DATE,UNEMPLOY
1/1/1976,7534
2/1/1976,7326
3/1/1976,7230
4/1/1976,7330
5/1/1976,7053
6/1/1976,7322
7/1/1976,7490
8/1/1976,7518
9/1/1976,7380
10/1/1976,7430
11/1/1976,7620
12/1/1976,7545
1/1/1977,7280
2/1/1977,7443
3/1/1977,7307
4/1/1977,7059
5/1/1977,6911
6/1/1977,7134
7/1/1977,6829
8/1/1977,6925
9/1/1977,6751
10/1/1977,6763
11/1/1977,6815
12/1/1977,6386
1/1/1978,6489
2/1/1978,6318
3/1/1978,6337
4/1/1978,6180
5/1/1978,6127
6/1/1978,6028
7/1/1978,6309
8/1/1978,6080
9/1/1978,6125
10/1/1978,5947
11/1/1978,6077
12/1/1978,6228
1/1/1979,6109
2/1/1979,6173
3/1/1979,6109
4/1/1979,6069
5/1/1979,5840
6/1/1979,5959
7/1/1979,5996
8/1/1979,6320
9/1/1979,6190
10/1/1979,6296
11/1/1979,6238
12/1/1979,6325
1/1/1980,6683
2/1/1980,6702
3/1/1980,6729
4/1/1980,7358
5/1/1980,7984
6/1/1980,8098
7/1/1980,8363
8/1/1980,8281
9/1/1980,8021
10/1/1980,8088
11/1/1980,8023
12/1/1980,7718
1/1/1981,8071
2/1/1981,8051
3/1/1981,7982
4/1/1981,7869
5/1/1981,8174
6/1/1981,8098
7/1/1981,7863
8/1/1981,8036
9/1/1981,8230
10/1/1981,8646
11/1/1981,9029
12/1/1981,9267
1/1/1982,9397
2/1/1982,9705
3/1/1982,9895
4/1/1982,10244
5/1/1982,10335
6/1/1982,10538
7/1/1982,10849
8/1/1982,10881
9/1/1982,11217
10/1/1982,11529
11/1/1982,11938
12/1/1982,12051
1/1/1983,11534
2/1/1983,11545
3/1/1983,11408
4/1/1983,11268
5/1/1983,11154
6/1/1983,11246
7/1/1983,10548
8/1/1983,10623
9/1/1983,10282
10/1/1983,9887
11/1/1983,9499
12/1/1983,9331
1/1/1984,9008
2/1/1984,8791
3/1/1984,8746
4/1/1984,8762
5/1/1984,8456
6/1/1984,8226
7/1/1984,8537
8/1/1984,8519
9/1/1984,8367
10/1/1984,8381
11/1/1984,8198
12/1/1984,8358
1/1/1985,8423
2/1/1985,8321
3/1/1985,8339
4/1/1985,8395
5/1/1985,8302
6/1/1985,8460
7/1/1985,8513
8/1/1985,8196
9/1/1985,8248
10/1/1985,8298
11/1/1985,8128
12/1/1985,8138
1/1/1986,7795
2/1/1986,8402
3/1/1986,8383
4/1/1986,8364
5/1/1986,8439
6/1/1986,8508
7/1/1986,8319
8/1/1986,8135
9/1/1986,8310
10/1/1986,8243
11/1/1986,8159
12/1/1986,7883
1/1/1987,7892
2/1/1987,7865
3/1/1987,7862
4/1/1987,7542
5/1/1987,7574
6/1/1987,7398
7/1/1987,7268
8/1/1987,7261
9/1/1987,7102
10/1/1987,7227
11/1/1987,7035
12/1/1987,6936
1/1/1988,6953
2/1/1988,6929
3/1/1988,6876
4/1/1988,6601
5/1/1988,6779
6/1/1988,6546
7/1/1988,6605
8/1/1988,6843
9/1/1988,6604
10/1/1988,6568
11/1/1988,6537
12/1/1988,6518
1/1/1989,6682
2/1/1989,6359
3/1/1989,6205
4/1/1989,6468
5/1/1989,6375
6/1/1989,6577
7/1/1989,6495
8/1/1989,6511
9/1/1989,6590
10/1/1989,6630
11/1/1989,6725
12/1/1989,6667
1/1/1990,6752
2/1/1990,6651
3/1/1990,6598
4/1/1990,6797
5/1/1990,6742
6/1/1990,6590
7/1/1990,6922
8/1/1990,7188
9/1/1990,7368
10/1/1990,7459
11/1/1990,7764
12/1/1990,7901
1/1/1991,8015
2/1/1991,8265
3/1/1991,8586
4/1/1991,8439
5/1/1991,8736
6/1/1991,8692
7/1/1991,8586
8/1/1991,8666
9/1/1991,8722
10/1/1991,8842
11/1/1991,8931
12/1/1991,9198
1/1/1992,9283
2/1/1992,9454
3/1/1992,9460
4/1/1992,9415
5/1/1992,9744
6/1/1992,10040
7/1/1992,9850
8/1/1992,9787
9/1/1992,9781
10/1/1992,9398
11/1/1992,9565
12/1/1992,9557
1/1/1993,9325
2/1/1993,9183
3/1/1993,9056
4/1/1993,9110
5/1/1993,9149
6/1/1993,9121
7/1/1993,8930
8/1/1993,8763
9/1/1993,8714
10/1/1993,8750
11/1/1993,8542
12/1/1993,8477
1/1/1994,8630
2/1/1994,8583
3/1/1994,8470
4/1/1994,8331
5/1/1994,7915
6/1/1994,7927
7/1/1994,7946
8/1/1994,7933
9/1/1994,7734
10/1/1994,7632
11/1/1994,7375
12/1/1994,7230
1/1/1995,7375
2/1/1995,7187
3/1/1995,7153
4/1/1995,7645
5/1/1995,7430
6/1/1995,7427
7/1/1995,7527
8/1/1995,7484
9/1/1995,7478
10/1/1995,7328
11/1/1995,7426
12/1/1995,7423
1/1/1996,7491
2/1/1996,7313
3/1/1996,7318
4/1/1996,7415
5/1/1996,7423
6/1/1996,7095
7/1/1996,7337
8/1/1996,6882
9/1/1996,6979
10/1/1996,7031
11/1/1996,7236
12/1/1996,7253
1/1/1997,7158
2/1/1997,7102
3/1/1997,7000
4/1/1997,6873
5/1/1997,6655
6/1/1997,6799
7/1/1997,6655
8/1/1997,6608
9/1/1997,6656
10/1/1997,6454
11/1/1997,6308
12/1/1997,6476
1/1/1998,6368
2/1/1998,6306
3/1/1998,6422
4/1/1998,5941
5/1/1998,6047
6/1/1998,6212
7/1/1998,6259
8/1/1998,6179
9/1/1998,6300
10/1/1998,6280
11/1/1998,6100
12/1/1998,6032
1/1/1999,5976
2/1/1999,6111
3/1/1999,5783
4/1/1999,6004
5/1/1999,5796
6/1/1999,5951
7/1/1999,6025
8/1/1999,5838
9/1/1999,5915
10/1/1999,5778
11/1/1999,5716
12/1/1999,5653
1/1/2000,5708
2/1/2000,5858
3/1/2000,5733
4/1/2000,5481
5/1/2000,5758
6/1/2000,5651
7/1/2000,5747
8/1/2000,5853
9/1/2000,5625
10/1/2000,5534
11/1/2000,5639
12/1/2000,5634
1/1/2001,6023
2/1/2001,6089
3/1/2001,6141
4/1/2001,6271
5/1/2001,6226
6/1/2001,6484
7/1/2001,6583
8/1/2001,7042
9/1/2001,7142
10/1/2001,7694
11/1/2001,8003
12/1/2001,8258
1/1/2002,8182
2/1/2002,8215
3/1/2002,8304
4/1/2002,8599
5/1/2002,8399
6/1/2002,8393
7/1/2002,8390
8/1/2002,8304
9/1/2002,8251
10/1/2002,8307
11/1/2002,8520
12/1/2002,8640
1/1/2003,8520
2/1/2003,8618
3/1/2003,8588
4/1/2003,8842
5/1/2003,8957
6/1/2003,9266
7/1/2003,9011
8/1/2003,8896
9/1/2003,8921
10/1/2003,8732
11/1/2003,8576
12/1/2003,8317
1/1/2004,8370
2/1/2004,8167
3/1/2004,8491
4/1/2004,8170
5/1/2004,8212
6/1/2004,8286
7/1/2004,8136
8/1/2004,7990
9/1/2004,7927
10/1/2004,8061
11/1/2004,7932
12/1/2004,7934
1/1/2005,7784
2/1/2005,7980
3/1/2005,7737
4/1/2005,7672
5/1/2005,7651
6/1/2005,7524
7/1/2005,7406
8/1/2005,7345
9/1/2005,7553
10/1/2005,7453
11/1/2005,7566
12/1/2005,7279
1/1/2006,7064
2/1/2006,7184
3/1/2006,7072
4/1/2006,7120
5/1/2006,6980
6/1/2006,7001
7/1/2006,7175
8/1/2006,7091
9/1/2006,6847
10/1/2006,6727
11/1/2006,6872
12/1/2006,6762
1/1/2007,7116
2/1/2007,6927
3/1/2007,6731
4/1/2007,6850
5/1/2007,6766
6/1/2007,6979
7/1/2007,7149
8/1/2007,7067
9/1/2007,7170
10/1/2007,7237
11/1/2007,7240
12/1/2007,7645
1/1/2008,7685
2/1/2008,7497
3/1/2008,7822
4/1/2008,7637
5/1/2008,8395
6/1/2008,8575
7/1/2008,8937
8/1/2008,9438
9/1/2008,9494
10/1/2008,10074
11/1/2008,10538
12/1/2008,11286
1/1/2009,12058
2/1/2009,12898
3/1/2009,13426
4/1/2009,13853
5/1/2009,14499
6/1/2009,14707
7/1/2009,14601
8/1/2009,14814
9/1/2009,15009
10/1/2009,15352
11/1/2009,15219
12/1/2009,15098
1/1/2010,15046
2/1/2010,15113
3/1/2010,15202
4/1/2010,15325
5/1/2010,14849
6/1/2010,14474
7/1/2010,14512
8/1/2010,14648
9/1/2010,14579
10/1/2010,14516
11/1/2010,15081
12/1/2010,14348
1/1/2011,14013
2/1/2011,13820
3/1/2011,13737
4/1/2011,13957
5/1/2011,13855
6/1/2011,13962
7/1/2011,13763
8/1/2011,13818
9/1/2011,13948
10/1/2011,13594
11/1/2011,13302
12/1/2011,13093
1/1/2012,12797
2/1/2012,12813
3/1/2012,12713
4/1/2012,12646
5/1/2012,12660
6/1/2012,12692
7/1/2012,12656
8/1/2012,12471
9/1/2012,12115
10/1/2012,12124
11/1/2012,12005
12/1/2012,12298
1/1/2013,12471
2/1/2013,11950
3/1/2013,11689
4/1/2013,11760
5/1/2013,11654
6/1/2013,11751
7/1/2013,11335
8/1/2013,11279
9/1/2013,11270
10/1/2013,11136
11/1/2013,10787
12/1/2013,10404
1/1/2014,10202
2/1/2014,10349
3/1/2014,10380
4/1/2014,9702
5/1/2014,9859
6/1/2014,9460
7/1/2014,9608
8/1/2014,9599
9/1/2014,9262
10/1/2014,8990
11/1/2014,9090
12/1/2014,8717
1/1/2015,8885
2/1/2015,8599
3/1/2015,8515
4/1/2015,8550
5/1/2015,8834
6/1/2015,8247
7/1/2015,8167
8/1/2015,7992
9/1/2015,7907
10/1/2015,7922
11/1/2015,8000
12/1/2015,7907
1/1/2016,7627
2/1/2016,7702
3/1/2016,7961
4/1/2016,8067
5/1/2016,7652
6/1/2016,7744
7/1/2016,7641
8/1/2016,7784
9/1/2016,7953
10/1/2016,7811
11/1/2016,7553
12/1/2016,7521
1/1/2017,7468
2/1/2017,7379
3/1/2017,7073
4/1/2017,7089
5/1/2017,7000
6/1/2017,6873
7/1/2017,6892
8/1/2017,7082
9/1/2017,6854
10/1/2017,6700
11/1/2017,6774
12/1/2017,6632
1/1/2018,6505
2/1/2018,6586
3/1/2018,6457
4/1/2018,6448
5/1/2018,6188
6/1/2018,6446
7/1/2018,6173
8/1/2018,6167
9/1/2018,6065
10/1/2018,6230
11/1/2018,6132
12/1/2018,6379
1/1/2019,6458
2/1/2019,6122
3/1/2019,6166
4/1/2019,5898
5/1/2019,5935
6/1/2019,5906
7/1/2019,5984
8/1/2019,5993
9/1/2019,5766
10/1/2019,5980
11/1/2019,5930
12/1/2019,5861
1/1/2020,5826
2/1/2020,5717
3/1/2020,7165
4/1/2020,23038
5/1/2020,20940
6/1/2020,17616
7/1/2020,16288
8/1/2020,13532
9/1/2020,12584
10/1/2020,11115
11/1/2020,10777
12/1/2020,10789
1/1/2021,10180
2/1/2021,9992
3/1/2021,9691
4/1/2021,9719
5/1/2021,9251
6/1/2021,9502
7/1/2021,8671
8/1/2021,8339
9/1/2021,7666
10/1/2021,7375
11/1/2021,6802
12/1/2021,6319
1/1/2022,6513
2/1/2022,6270
3/1/2022,5952
4/1/2022,5941
5/1/2022,5950
6/1/2022,5912
7/1/2022,5670
8/1/2022,6014
9/1/2022,5753
10/1/2022,#
